;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
   46166 - Meliana;10662;4,73;2252,93;16,36;3,62;1,24;105,34;52,97;10822;4,73;2286,74;18,77;3,37;1,43;106,51;52,85;10970;4,73;2318,01;21,2;3,39;2,36;106,12;52,4;10926;4,71;2319,11;20,2;3,18;1,84;109,21;53,22;10881;4,71;2309,55;18,74;2,79;1,97;114,4;53,93
   46167 - Millares;346;105,51;3,28;-48,82;-39,6;-21,39;753,33;58,72;345;105,51;3,27;-47,17;-38,84;-20,58;706,25;59,72;331;105,51;3,14;-47,29;-38,37;-21,15;778,57;59,13;341;105,51;3,23;-44,64;-38,71;-10,56;641,18;58,6;339;105,51;3,21;-43,41;-39,82;-7,08;572,22;55,5
   46168 - Miramar;2599;2,56;1016,79;133,3;-0,31;15,78;117,56;52,26;2634;2,56;1030,48;123,41;-0,23;13,74;127;52,61;2685;2,56;1050,44;117,94;-0,52;13,15;132,58;52,21;2740;2,56;1071,95;110,12;-0,91;12,19;140,1;52,73;2831;2,56;1107,56;101,35;-1,41;14,2;145,43;51,88
   46169 - Mislata;43278;2,03;21296,13;7,26;4,53;0,13;118,4;51,45;43691;2,03;21499,36;7,8;4,06;1,25;121,96;51,15;44320;2,03;21808,88;9,12;3,74;2,66;126,15;51,13;44320;2,03;21808,88;8,25;3,22;4,16;130,85;51,65;44282;2,03;21790,18;6,3;2,8;4,43;137,77;51,8
   46170 - Moixent / Mogente;4318;150,23;28,74;1,91;-1,3;-2,01;135,39;52,69;4302;150,23;28,64;1,2;-1,88;-1,7;140,68;53,37;4307;150,23;28,67;0,89;-2,53;-2,04;150,67;53,38;4326;150,23;28,8;0,6;-3,14;-2,59;156,16;52,86;4365;150,23;29,06;0,23;-4,26;-2,25;163,32;51,98
   46171 - Moncada;21802;15,83;1377,4;18,46;2,2;2,07;113,37;50,11;21935;15,83;1385,81;18,7;1,94;0,59;118,34;49,96;22021;15,83;1391,24;18,38;1,68;1,66;123,73;49,96;21875;15,83;1382,02;16,13;1,31;2,17;130,23;50,21;21913;15,83;1384,42;14,24;0,92;2,42;137,12;49,65
   46172 - Montserrat;7583;45,58;166,38;156,36;8,31;15,35;69,61;45,21;7878;45,58;172,86;154,95;8,02;14,61;68,99;45,65;8188;45,58;179,66;159,36;7,95;15,27;68,95;45,69;8655;45,58;189,91;166,06;7,48;15,82;70,75;43,72;9017;45,58;197,85;168,04;7,35;20,02;74,16;42,97
   46173 - Montaverner;1631;7,4;220,46;-1,87;0,18;-7,54;126;53;1630;7,4;220,32;-3,03;-0,31;-8,04;128,8;54,06;1635;7,4;221;-3,94;-0,43;-7,4;131,84;53,23;1630;7,4;220,32;-3,21;-0,49;-7,79;140,93;53,92;1627;7,4;219,92;-5,52;-0,55;-6,15;146,93;52,91
   46174 - Montesa;1180;48,11;24,53;-6,2;-6,02;-15,51;159,18;47,68;1164;48,11;24,19;-6,13;-6,36;-14,09;167,13;48,85;1155;48,11;24,01;-8,04;-6,49;-13,77;174,45;48,27;1149;48,11;23,88;-11,68;-7,48;-12,79;184,73;48,07;1152;48,11;23,94;-14,86;-8,33;-11,55;182,71;48,45
   46175 - Montitxelvo / Montichelvo;605;8,16;74,1;0,67;-6,12;-0,5;161,29;67,13;584;8,16;71,53;-4,58;-7,19;-3,08;168,18;67,82;585;8,16;71,65;-2,01;-6,84;0,51;200;61,16;588;8,16;72,02;-2,16;-7,31;1,02;202,78;58,92;571;8,16;69,93;-12,02;-9,46;0;204,41;56,87
